Account,8329 Era,8339 Era,8357 Era,8391 Era,8396 Era,Total
5FqbWdMyyXu9LWgBSfhTWqZnjKWyBeaQNNASnPVxe4JXc7Yn,8947,173015,150132,180063,222515,734672
5HYrEo225w4dbyAtLE4w6bRYRdGsrgqp8tDBRPPhyMC4DLZ6,2615,56040,43693,37303,46748,186399
5GYcCTxHHDFUQjH83eDKM3i8uhZTA7aXVhjmGMsKmdevt9qm,4026,114234,67268,62892,78611,327031
5CSvQb5j2QsU8NzNSB1eT2VuDCkGdYUiYcgYfZpNqEdJcGPi,32842,1146573,551127,574437,692276,2997255
5CDqaEE4q311KkspLwe5XD3J2bpoQKEDdzhe6agn8NCroib1,20075,700848,336879,351127,423157,1832086
5E6nWjog2QGh3XzyuJztanySxBqFEmyz8xfUG1VGZEWdLgeE,18791,656021,315332,328669,396092,1714905
5E1vYB1Ct9LFvYgGvN4x5MFucAQx5aiFHmDbeWtJUfLj5Rn4,1729,111051,53362,0,0,166142
5FL6ZoDvvswwG39sC2Pygbdng9XLmjALZDRcwAgKvZHuwB15,17340,365723,289753,0,0,672816
5EWg84nKiKGRRqsaKg9sgsEcpBKHDM98qj16YrLPVXRHDZQw,18066,437540,0,0,0,455606
5HYtEDfDMYQVpLMLzKjB2FtuhEQ189NXFoU2HAZA5gWCmFLw,1902,66381,31908,33257,40080,173528
5CfPkCkwUQdRKZq5U5J5GMNXxUmCWdJCstKUNrQQBKJ5yicv,8612,0,0,0,0,8612
5CUehEVz9d17JAcgGYkUVzwCsqjNZ2o5QNVTtzsugw9mnS5j,168128,5096095,3115607,2127194,2539148,13046172
5Ceqvj8Fhw8fVDDiDfLVDTG9gTmqh3A7SVDnSGHZRnfi4KoB,1551,41066,30121,21183,27984,121905
5F1qAYEBzuXpPD1ZZuLcQ7hMnpJfsuwJukBY5XwXvnCRjepA,1478,38218,29797,25440,31881,126814
5FQwf6wbBoK518QN1wN68E9r8auBHKLPFqHaummK5gK1JdVk,18809,334866,367013,998982,1248930,2968600
5GNfhY69ptGxZtkZNf3nWkiLvChfQHrJNvXWuk2cARhzgkFg,53369,0,0,64348,0,117717
5DswwgEV91yPYfHvr63BwrkwSTteojPcmyrPn6xhAx8ZoK4r,3245,0,0,0,0,3245
5DhMSKddz3Xp7taEFHbe1HdTXvguxsjnT58pVCjNRfnsYtzT,1562,25420,10195,10196,12977,60350
5EPgC9Zn2H142RnRvGD2Vk2eXwGxut21KrLfJyYea2voQaQg,25136,0,1598095,1419275,1729049,4771555
5ECDtd69M1Qj9zmH9Gg4XCi8Jm5Bw6hecefhqcaojurdquH6,4278,0,0,0,0,4278
5FR1w93fczggRP5oaUzKRBGgaid47sSAjr59jWNXkiquDY4s,2573,45795,50191,30282,38088,166929
5FCW1fu9QANRzPG3Dgec5zS2Hqxvq7k6dRLYLWJrtkV8fK5N,2594,68708,50395,35441,46820,203958
5EhYZsEwsMfxdN1jZWh8W3AzESYz1Ev7tXk9P7opNDtv1caf,14753,425681,287862,280811,346992,1356099
5E76MWcTjTR2X1WfxXc7p6PbJH3J71zQCPJFcnaJo3nAzi4C,1888,23829,25708,11835,15194,78454
5CX6Vg4TJJsWHTkF86Nc8gfAGQgbiMpqHqbTQLCafqrxXED2,1433,0,0,0,0,1433
5Fbg5KFTxUWjdN89X8DctN2S7EdnB3sbAsQEJWsk4Zg1GNi4,2001,34404,39037,7068,9535,92045
5DLxwFCULa6Q4qACudz4xDjLLF2oxCRJe4hmWzd6WSKbuL49,5105,35614,0,0,0,40719
5GUHDNeb5NDTy7PA9utQJmkCPftwhEwsVd19ZgFBq1V4ZiJU,1555,54951,31488,30326,0,118320
5Gc2978YbRcQaVhHyHb9bDcCYWDp8kgNKw5ND4w1wpwqgeL3,1433,41329,27948,27264,33689,131663
5GpXjgZJbY4WmP6KnTCgWSpuzHC7zUqyamXh5vqa7v71XSD7,71612,7787462,3847288,3820874,4991837,20519073
5GErUo4A19wTcnD6BNxVDn9AcqdWzFBwL843DSydggMEDYHq,17368,355629,0,0,0,372997
5Cvqy9UmJdVRNsLD8KuRf7Rsxwg7Ak7rqp5JojGz7eaygDRQ,6663,143433,0,0,0,150096
5FTy1jvJQtMPukzkRaaJiJRPe4Gs5GML8SUMhb6JVHhf9GaF,2937,100907,59214,52084,67308,282450
5CRt8dCcaX2aWUqSZMuxmVe1MM8hebAV3CfhQ2HV8ivuhgw1,5013,0,0,0,0,5013
5D2oSmenxAPVRGKwKBpnRTBqpcgjiMfCVzPj9AZdPjTt41pE,1433,0,0,0,0,1433
5H6phdKhGLTZ88bNaqkPHKsgJJMK9N3T1MLd7FNxs3hqLtLf,1945,0,9285,0,0,11230
5DA2ARuP6phpzmGaMZKwZMmxCTatPdAXTFrje7qksquKdN25,2576,87936,52161,47034,57067,246774
5ECcPUk6cwUmAiWrqD7mX4uLBxQz22UoteBp9SZT3FdMubnZ,3370,0,0,0,0,3370
5GKrj7hGSTPzpJD6YFmMVoJZPcUB4U786C53sHYaMR2MMA2v,1627,57492,31607,31595,39457,161778
5EqBu1TYuYRR5RLYdLWHMBPhGo4B4csCXMFxVAWaskipMJCZ,2418,0,0,0,0,2418
5HDqGVaPiBL9KfmK9kmkdVoVXE4R6VLK2ULsQwRx2SGB3aRR,1719,51808,38380,24329,34066,150302
5ConbLiQRw3DQCM4myDDJS1YFA3Lw59FBfEiR6S7nEtFge8T,1447,23554,9446,9448,12024,55919
5HDrDxJLphseXe4rfCsf1jkyp5hTuBqPaTf5QyKJ7LLJhL79,5435,0,0,0,0,5435
5CcivyVu9U5NEF7NWVy2MTjFpwu8EcU1G3aeiscmYpdWnLE8,1433,0,0,0,0,1433
