Account,8329 Era,8339 Era,8357 Era,8391 Era,8396 Era,Total
5FPGzWtwZ2KhdUh1xGYzCF8uQXnZDbKKDbzpcCErZp2Zt4eG,136989,0,0,0,0,136989
5Gy9zmp4gwfR2NHrtt19P9xjA7Pcsak5hquqGFTHkdX3ypwh,16586,0,0,0,0,16586
5Cm393U4vyDXEUx2YtnjfdiBLTN7witCF2kF7AjcSp9Mupi1,3612,0,0,0,0,3612
5GzuNbyWeCBUGgM4BxLxYcuMqivnTT6hfyE6RjaYLvTxWAkD,14302,587162,399740,0,0,1001204
5HK4eNmtBZAEt7hbfoGGKCK8zVaWv8d5xe8DdT5DFSp2xL7z,2957,0,0,0,0,2957
5CyJf1E1Lvj2EUaFRJc6kJc73rgWdTwVScvrRWQhwuJW4zGf,38306,1445328,1456950,860718,1267665,5068967
5Chn8jdNFcTXdoDjvZdvQqJ4K4y38vbM2Fcckwk8LZ1bYb8a,9546,679014,266810,341616,450622,1747608
5EZDSSzRHUkuqBHA4xw628NA7nJfR7Nd1Bn4MTsWtqtdqMKk,7843,0,0,0,0,7843
5Gy9pvT5xH9zMG3kkhhUSjpXo2pb8c9jPK7MvmjYycaNrpaZ,1953,80934,54581,49750,76246,263464
5DG2VcQkg2nDujoaxeun2wBszAPcrMiyX9HvaDKdPmddjKMy,10462,467251,292403,283037,0,1053153
5FnjYi5DP5kReMXBgs8tcRXX9sfERQVKEmYv2fHqbyKQgyDA,41589,1786024,1162476,1098686,1674169,5762944
5EkCnmNmqjmdQkCcSkxkpCwFLYA3Zt2CjcVM44pQ6evagFWa,8696,352531,0,0,0,361227
5HKyJUyK1X7Uh37YVwpNoDsWwZKxuLNurfJ4t8JSwGzvZL4j,2153,93189,60171,56409,85786,297708
5HYGAoai48DaEewL1QmCciAhDYrQxofjtTnUqgVuaRTKj2AT,2545,148009,71121,85763,129692,437130
5H1TftaMFsx3eJ1n9fVQRsS2LsDvYBu9Cjk6muuVtb7g516f,13953,0,0,0,0,13953
5FdsqnPNaJkkpWX282XmvK1TNdPWNReyGaSfepijMgE7N4yS,9705,471001,0,0,0,480706
5CSrZArVK9jQ8ypML64suSvDqucrwouQMKBsapQHWVkB5pSA,2484,113269,69426,67202,101163,353544
5H9SXjCFbdpbKg7PN26dRhNKPcbJVhKp8fsr8dHdqX1upsvb,3952,0,0,0,0,3952
5HBanxv7yzrki2eM1rrBWKkHfqu58k6Q8btnFdtjW7JdXSMz,2697,111757,75051,72647,109458,371610
5Fs4pL6aCQ7zDRKvibQYHebpYPh46YiwSwcMC18ccYupWv7g,3426,0,0,0,0,3426
5CSVoqQsHBN18SMsnUSV9qZamfUUQWEdqjCfv9uk6RH7Z43X,2957,0,0,0,0,2957
5EptFVwxKpeUtmYQYkP382K4Y6droaeCqQqUbsguhGUKUwok,14693,644141,410681,393647,0,1463162
5HihYqL9FvFCQU38j3Q2WyCTxRwdTBtRG2miJu88S2VFbkZV,2851,104290,79336,84473,119513,390463
5GBPDVVvRZkWCVtyswDiQUmq3Snz6YXUBWw7cydCBS3VmjfU,26619,1188923,744019,720189,0,2679750
5Hn6j2RwmWhQaCTzmdf955kd96kdMKfDVHc9Y3GNJPdG8gV9,13207,609456,369153,0,0,991816
5CrPhQnYHJkyLYPjWhSswiJUiLbsH1PxAyza22cfhkPhLHS7,65907,2508613,1842179,1735845,2651124,8803668
5Ff9qVDa6mKRJvPKPzKrKnqfy2JUjJ9iHzu9NCjKSMUPnsQY,28395,1161742,0,0,0,1190137
5ECou1fdNXsFbrnMuKb7SwmP1JtV7RpEazPXBPGMBPfHmBQ6,38182,1705251,1062651,1028616,1549832,5384532
5FUHDmG6pCtjJRKkzULfc7WTDXw6WPfNjHL8586yWkpedpi8,5428,0,0,0,0,5428
5CcYXY1QXT4YxrXCYmfugPBd3He5CAmniyWEfownqn9b8M2x,8123,0,0,0,0,8123
5FZ9NyGH9gSse8w4kSFC4cF1dqugK4GtYJ9vXyKvxKcpqntx,3319,137562,92381,89422,134733,457417
5G8sE9336F9kB4FrhpkHz6xZsVGmNcTVEq5KFf5gDt4Vmzo6,2326,0,0,0,0,2326
5Ge6kcjs4oELcGU2AoGaWWGU6kSnbzhiVTsakAf3tdycc9D2,4739,211641,0,0,0,216380
5FeRMvYbbFCPds14Vtp5hunNevAeng9GsmzeatoRBKGnFxL3,44767,2167158,1251294,1280887,1877594,6621700
5E9PhAz5BcZD6WiGW1v29jzq1h2xBL6ecQKP7aqfJzMJrLvG,5960,266165,166564,161230,0,599919
5FnqSQPxCk8BZ9w2R6NhPjdL9Fz4UZ4ppdE5BxbBnGEoKssq,6300,0,0,0,0,6300
5FNLoNYcPq2kVvNsSUvyNRtXfQ7TfCdTUgYv7TTyKsHXv2d5,2879,167432,80455,97018,146711,494495
5EChLpacUbeBAU62fCqUbNcL1mLcuvumxP3PjjXnZMPdYh9K,305454,12536188,8508801,0,0,21350443
5Gda1hVqErU4VCJcs1jYn962UfYTEieWGjBMX1QSStXTEH3G,19091,799609,531379,491774,754237,2596090
5FR5DPp7nGfGBGnbHWzdjxZ8DaXhavi5tH7jHrDmbCqZisza,143106,5917916,3444546,2116908,2849182,14471658
5Fse4WkjU2o7Jw3scTtvSzMfvNVnYDDbu376DwrZkAwVBAEp,320,17861,9297,8629,8494,44601
5HnHNGkXMyAfWwva6iTHaEd4FEXFZUCbCWBpd4m9fkstd5cG,1063,20369,32637,0,0,54069
5DM1csaTHsYj3JfeNkfreH4LoFCZWP1BVxS5tAuKecnUxYcp,531,18426,16299,13301,16103,64660
5GZTWTsuzaCEXnfoFPHWLDckR8t47dWe6GQaQXqK4pqq72jJ,1020,19534,31299,13172,15407,80432
5HTsCSTcJABpCoMQeN46ydGYUtB7hywHzkYFNV4CpafKu2GR,5759,205959,176834,92418,114168,595138
5DwQD4RbkvTxZSU645iZwnXjaGEq3YxgmmAs19GQobYnUjbQ,859,20049,26372,117025,158394,322699
5DZu4gkHLDB87dybkmn2ikTYk85bsx8P3NpyvDQ3JMgbBi8b,1186,66288,34503,325708,402342,830027
5Ckba8tr5RahbBo1Dus3VmbWJaHRCk2MFpTUPAEqdGf44T6z,344,6525,10001,3670,3627,24167
5H9WtamcctJ11KR3wKiDsPMrC8wc5BoSMk5Q32igzgkc1HHy,1852,72590,56847,30464,35907,197660
5EFHSi1yBCJKrt9kT7h91HDXENJBcLX7eYrXVDdxAtZXbXKw,654,20340,19022,0,0,40016
5FnaX7WRPEuzY7TVDWWFmXpk1QZf25VMuJEXXohmDX5eR1TH,362,20191,10509,9755,9602,50419
5GRc8iT57iAByjmVSxyGxBZFguZhpkkq1CA7tw2nH7rPRdAA,396,0,12160,5118,5986,23660
5FxnDqqNqWmkG5xAJaofR5ibSes6ga3MsWvQDqJuPzcCUvfY,479,26763,13930,12931,12728,66831
5HeX7H2KpRRzTrAPa1wofbyy3bk6HYhD9D18j6DWE95uRfmR,1105,43443,33932,18767,22611,119858
5HMxaZuyaA9LZ2r83d5EMqcexteW5da2nLsqQZLC1UzcVcZ2,570,31865,0,0,0,32435
5DaM5LxiTZcmyPdBNDHQ21TJQGHTcv9HB4nej7B7wKT9hju7,2467,1518463,706153,549081,490980,3267144
5EkGt9J1cKfPUxktStrB2LKdjYz2nw1ejKY6mzkFUo1CMK5Z,828,0,0,0,0,828
5EvtMZnRJDuwPYnEWU6ZGuo1buoXUyDaLPSRWCEUV1EXSj1Q,83222,3213784,2179272,1481338,1428539,8386155
5DUminryb1q3ShnL5skZ29nNZp6mFCJB9kp5bcuHDNNLkkJm,14664,680472,301712,357631,442314,1796793
5HikcFawehpuQpDwtfC6bo8KznvxW2qVM6A7tStfwPxsbKgD,12150,259818,248229,153532,186411,860140
5CffeJMS4jdPhaft7KLqzAPy7JK6HLM63FqBQGvA6nPdxVfj,36660,1701180,793970,894076,1105784,4531670
5FcGc1GfqDg4CVNwzsTkqy8NvSN9oN3wA5YbC9yeTc3yBEji,4146,0,0,0,0,4146
5HQMDcjGPSwQEMNdzQhPSPstJULaQma9tJwAm3yjtzH3Canr,84096,2388890,1718172,1387708,1614299,7193165
5DhLG946bUB94k9a4takEgv9NYBs1PLzNBxtvkVbXspNpoTQ,1536,30413,31372,17776,20615,101712
5FCKEQ2Zy4ovumjSWtmd7WLPupNsXMnBDRaeYK24oNYZM6Z8,7259,336834,157206,177027,218946,897272
5FprjVQ2LeTPAG1dR5bsb66xhskj3qYxCfTWDYZekspUntep,9344,241001,190900,108002,132184,681431
5FWoP56BJUYWmKbMrovqesMrHxCR7nhwYSSFuBf93cTes4kY,6251,192680,127714,116785,135566,578996
5F2MytKuXDujE7qdQaxJGj8ymfLtYemS3SFhU7EQdTLcpMhi,7442,147400,152045,90225,109608,506720
5HbVXV7wbP7t93usmjjy1xphYjg3zrrotbxFJRshdWnssNA6,26129,612358,533845,0,0,1172332
5HWWZhQ7229zgqA9sHjty24ypvq8taVErK5V6axcJMqHHkMw,186990,5090437,4049765,4527174,5529996,19384362
5CMKxHv1jPVMyU7wFCVp91K11UfA1XAKD6p7UgEiF6PcwuBL,7186,170326,146808,94325,112088,530733
5FLaDkJ8KnYoqLSWw67GBggautaUTXjPVuoeNGrrRNruDe5M,2897,53554,59178,30440,35695,181764
5G1wPJDtdqGDiqhqjEAtTvrUrEQR6TnBNgRjs1cZaKsuCByX,7332,189940,149801,101767,123367,572207
5FsnvpQSS9vkyZ8zybXJPDzbC9LdcPVxvQbvtfRMEKcRdLDx,19842,0,0,0,0,19842
5FNzYfy9z5AbxVMLA3CJVCrybUuZCGZr4sSAVaQ89tzceHKD,14664,680472,299602,357631,442314,1794683
5CG4zgYTKKB5mhXTfnJWkY7RsB4Vzv95Tz4F7wfG8nHNDTmG,22381,682968,452691,0,0,1158040
5CoD95NaUkp7y84aRpd3Trk3djZ4frPM52g8wpVm3Kv2USdi,22730,64196,30173,0,0,117099
5HaoZLYwkVtCFajTb1bAt2zBLk5WFfCxwUdKncYPp57RXC3s,6310,116652,128903,69759,81865,403489
5E4bqZ393LbBz8qZ7orchEdcGSjhj9edpJcyfhYEYFJBikko,28292,668191,578021,349808,441882,2066194
5EP2fsNqxUBdTT4ABhwqkKjQ1gLtrkJkuvksGMi9tohdpSfy,40064,939825,818534,492925,579133,2870481
5HNSACyoV4HAmvzyHUk1HLdHyWATVGaX4xtK9YmyDzhxreWu,1491,28099,30327,15072,18482,93471
5CaeaU9NtnE4FukU5a7z21N87P5HdtAGNmxf2X7P7HpAvR11,6746,502517,341044,214566,293048,1357921
5DqHbAGqwG1bEVog28pw3WjckoYdefUGCcyAEFfsnSLQarq5,2775,54951,56683,32117,37248,183774
5CmDmxFtACwF5SEnNXhkE7FTV1Ko1keXHqkzpPbuUeFodMwE,14664,680472,301712,357631,442314,1796793
5DUZajrmBwQv846T5HjSPXV3cSEBTQt6EzfvupWmDi9FA4wS,22071,505902,450917,276377,348532,1603799
5CJvYuY7ZSKEGHCG1mNqunvjvH5ZB3zGP7dVvxvbypWLhkBn,1467,64197,30173,0,0,95837
5ExvLHW8Uv2bw6uu8sLF1vDZtTUTjAwnx9XyHEXVgfCrDnPS,142625,4694692,3217346,2326625,2623947,13005235
5CQLZsEZDW9YSsXEy51SK2JScov4KjWzqmxFTbybr9ifJUkT,1395,45702,43481,19239,25250,135067
5ESCBG27TTMks1V9xcZ42wBDA3BD4e1Ui2ZTKdBeDUJwxicz,3081,413883,217702,213731,277791,1126188
5EnB9YF1yz5aq9v1eh31WoQVuUjCSQNxwg79uV6sBMbdkGKK,1031,0,0,0,0,1031
5G68CqM84zs1mCZxYnLHjr22AuG4G2mwavAESJrMHaB5jpwg,1031,17861,9297,8629,8494,45312
5CSzTUhdThvqANTFEYnp3JTYL4RyFintRpdDkbptWG9E5JeE,2621,68967,76210,39201,45969,232968
5E4R9FXDNz3TKCSozmFXHZuu5dNTECCQuD6MDz9F3AYp9xpe,3272,50126,0,0,0,53398
5CY6e9xL4KD2P6e9VbZCnZDvSSE7Aiq8UEu7WGhJjjsBd2pa,2061,0,0,0,0,2061
5DRccQBCkiqC5Ms23ZKkschAgw6YPaHbftzCXx16ocKcrExc,3271,120604,95118,64618,78334,361945
5Fsh1z8jZEzntpPLmBqENT8wJ4tBvpUWBziDf3x4jgZVyauX,2061,0,0,64348,0,66409
5DHqTEsnd5MtE237t8ehcfvdp77rYLsJwkonLjUApby6tGfJ,1031,0,0,0,0,1031
5C55Hepdvg7Y16SXvdemNesk2u3qtcwkMH7G88FcaHS3YkmU,2762,503602,214871,0,0,721235
5H19wpQAKYUrZi472UobF6v1BmoTD8NW6qvpW1twxQJ28FdM,1031,64200,30175,0,0,95406
5GQyS3kmEn1B24jrZQkGrghh6AZdTSyF9nvk78V9MhK8q92v,4537,148879,131365,0,0,284781
5CJgyrTMLnyuwSkYg5EnTATdCXrjYTvem9GJsH3cEy7MDKSF,7564,0,0,0,0,7564
5HQGMd9FcQLpDYBkAuPaaWo5icE1zAeF7LydZi7Ygqp2p4dn,8255,293462,241748,566621,593695,1703781
5C5ULqGGMpjuaDU1VjqAmfexQUunCiFKc76He6Fx2FE4Lorw,9761,347002,285849,167958,217865,1028435
5GbsqcMb1rpk5CV9TZZfWtT5yXknb1Ge9HW9g2oqtQz5gKjh,5427,200082,157800,107201,129955,600465
5H9LRV6b9yJeYfg6f8kN1BMgCSX6EStikc5Pj2kDURwCy5vw,17102,0,0,0,0,17102
5E9VAXvkwbERNwrRyytwFuUfKgbvuohxUKeSavsw7CWFw5r8,9518,0,0,0,0,9518
5DLMBnP7sh3vFnqCT2RmfmyY6y9fr2B9gKuETBL6FvR5p7Ua,14788,490968,461006,0,0,966762
5C5525Sdj1DahTw1XHNJpJi9cvJmuq97ty9SgQAP2ygEpPQG,11230,0,0,64348,0,75578
5DFZvWUUzKsPmbzKDjghjZayAT7evWDaDGUJuEJHZ1huAHhT,100177,0,0,0,0,100177
5CAq28gKdyhsLA1yKrbJwFhg7rKWLpXtJw2rMY6XnwYj7Ge3,3297,99783,66553,37367,57322,264322
5G1Ku5vFhjwueWr5arv8WZjsRZ9m1Av9NSCJ68RRNLHqTRpR,2716,82187,54816,30778,47213,217710
5E52jKjwf5SJpZLU9Pp1qK4z7xry9oA4VNTRr8VTqQgLZCYh,3175,96101,64097,35989,55207,254569
5FZMf21NEY1CB1Jhb2MqHo2zyAyTHMwECExt7qHKGsUDsvz8,976,9706,22041,2284,3435,38442
5EcXhAFUXNxSuwV1d18q5ViYZQdSKc5bmqs5AMi167ked1wj,6692,172306,151116,65434,95860,491408
5CPNMhcCNRErSYtrHS1iHvxuKuwwsY8vaV5tztcg697ENhKr,1056,10493,23827,2469,3713,41558
5FEX1j5Wn7rjLM8itQyKEgUJ8dNQGx1UrqkLbPDaKw8fqWcy,322,0,6701,0,0,7023
5CRxMeQnhQxrHR1QzowJR9Gdbe7sczDt9Xy64HNVu6Hgqb3Z,305,9206,6140,3448,5288,24387
5GBxdDS1vkwLjKvtCH1M8FK7N8p9eJmWBSGXuj7iH5GW6Fxz,4258,97414,96148,41632,52528,291980
5F41ZKuf3KpCEiKKXKcrzqedoh4vARNko17bQffy9H4wNCpG,1170,46423,0,0,0,47593
5ENsjrZmR5YYoxiteXkBDdXHzpnE7V9ydqN59yNtnUjZCaBp,1288,12801,26830,5865,7830,54614
5HdHxFr3eZwL6Y3DZepq8kFCRwzugeRGCcQ4sfLPpwj49T51,857,8523,17863,0,3016,30259
5E1XEAP3sQSrezp2tFSyRzXVDiRDJHoDm6wE4n7Z2QbMxcVw,609,7495,12678,2292,6589,29663
5GCR4cGResaAgvA2tAJHARSEybGXCncGBgwjFK3ob1Qs9ubw,990,9844,20632,2317,3484,37267
5CUkkpmyZ8BdFE2PG5QNxeQcK9kscY4naGoHEu4mHqPBCdb7,419,12672,8452,4746,7280,33569
5FgWMyV7w42fz7j6eWfSTKYLfEHDZVbe5tuW7ZExKVex6vyn,323,9753,6505,3653,5603,25837
5F7NJkTuJPBTVWNW7ZPtw419dMXCtDwWVpKCYEg9Wq61hGsK,2535,34223,52825,11546,15416,116545
5DviuYyQQAHTp2CZkPw7z3W9HLCxtpy5Bndto1uGMsJtCkFS,576,0,12003,0,2896,15475
5HMeyCJ83AqK2cfHPsgQL5VGCsDqhbieXLZbnSqTwDvyEJdn,368,0,7671,0,0,8039
5CaYgsaaQ6ikFYQ8cDXcmEATizngxQM1xyReJpfMq9Fk1Rov,305,0,6339,0,0,6644
5CoKrp6WzAtrmZ7cccMN3PpedFeBHcuauYcinWxuppBH3sGV,609,13143,12280,4607,7080,37719
5GnjfkMchuFR3d2B4ohxTy8GMQpUVPbnLDQdEfe2FpxHjaam,2486,33563,51805,11324,15118,114296
5Ctfzq3m65iGaYCVxb2FiidLVM69LtqE5umxhaBMitJvgfsN,368,7952,7429,0,0,15749
5DDF7MqbQKLWU5tSzWKFJvVtTdDFY4qSZvgSC2A2ZU3UMsYx,2130,28764,44399,9705,12957,97955
5C7vupYPAVUccSfSub5qccFP7tJQeR6yuyVC93eAqtbWrNRP,100352,2917937,2266325,1144219,1437626,7866459
5GQkvienyGHUCmCEkKRfm9DK35Y6QU3kmnsn51CKkXrDYQZW,329,0,6631,0,0,6960
5Gh2VLKejwut5L2fmCgstfh48HCLx7S5xs9WJE79ibm89YyS,397,12013,8013,4499,6901,31823
5CLZUaipQztBBiz824jxQneiVaouwnfC5SnfqpiJxptA76AG,761,9369,15349,0,0,25479
5DNodY3Sw4q8Z1Cyr34JYEnXKFomDgLjBmMeTyrRr4eViRQt,358,10829,7223,4056,6221,28687
5Gn8gbMDsdqKkxjLdkTEgmDjxDT611zSVz1ePsK3ZbtcHJAT,474,14338,9563,5370,8237,37982
5FQtSMtKDE48LQHMfV82uE1Ze6t3yPh98BTEfoboqcf4pFEX,549,16616,11083,6223,9545,44016
5Ckz5DwJFX7jQftFV4DPbQWf69acHycCoZk83mweUcmu85ZH,380,0,0,0,0,380
5E2fEq4pN63JFpyCVyhZhLuRkXbSvtsCMtRFEasPgR77zDjB,305,9206,6140,3448,5288,24387
5FPBymwgJSN5Vfun9mw2xC7p9UF3ZeVCRFXwbMPaq8uSSSUF,1747,52880,35269,19803,30378,140077
5GqJtqE214tnXfL7iVifMmHTzzvtVKBBKF8xMxLN5fLRvR3s,3707,58164,83717,36250,45737,227575
5Fpa4v3EdvDYfpP6BxCaYJhVfvetXrGYWYCvJDFJLNnyLMWh,943,9378,21296,0,3319,34936
5FhddCMorPtYpGEqq1LHGBzddvYJmyLG94SMxiUb2KNmjqZF,730,22093,14735,8274,12692,58524
5GTDXd6qbz6xbk4JqQ8uUkddLPm6w7wD7caSRrkgMV9sWkuF,11513,334748,259995,131266,164926,902448
5EFiyQexof2PcsTn4rbs7vZGPxAmiEX5vP7nX22hKSAb2Yi9,732,0,16520,0,0,17252
5Dy8gN4qzK8mYpXncN26USzY3usfuMFcSsXSaQW15AxbkAVi,1363,13550,30769,6208,8288,60178
5ERLNnnP6sap3SU3jco1gSqNahqNx7oLnX6df8u5WPLSVKzn,2599,35097,58694,11841,15810,124041
5GcCm8LzvGhdcYqou7MakYM7qvd2Z2nSYVpUi1d8gLuPBWVH,1556,47082,31403,17632,27047,124720
5DJBPiFhfYEV6YhFxrWvuQXYtug8fEi59QQXCzWww8Ay6vsV,1521,46026,30698,17236,26440,121921
5DaLAyQQJTHkdknfJNr22xcBK46BGHteyQsKJwyb1TS2V7G2,305,9210,82665,0,0,92180
5D89Ez9kD6kvADYfRAf93zKcw47iuDReMcic44ufHmD9dfid,700,21186,14130,0,0,36016
5G9dC7GUKpgqkfgsKxrkgNwF2ynv4rkSGEzkd1PB8ygdyyDG,417,12616,8415,4725,7248,33421
5HT8v3Fj44kvRf6KiS98TjpqhYjgD5MqRkmcAxoFDVku84Ad,1530,46301,30882,17339,26599,122651
5HarbwUwgBWeak1JQULBTjdrCT6SELMnH73kZwKMcJ684TST,3982,91092,80376,38931,49120,263501
5EPQHiayJtTVZaH4EQXfLNbXsVetZsc29kkoTSLzWMpnabkp,6609,170173,133422,64624,94673,469501
5DLQdXwnzpDcLR7dU8JpSTorTKF6Q8jqurub1Ev39ri66UyV,2281,30800,46047,10392,13874,103394
5E4BMQANZZSF6SupK5jr4Uk8EHht551tuhVsHdEF56zZsxCT,1330,40244,26842,15071,23119,106606
5DwTaLGd7rq9dgCeTVMDvBMMR2VigoHnQxoYDn19bioqKD8k,490,0,9885,0,0,10375
5CyZHFXWEdY3BEjFGDu9vTWSybWbmDSiu4pfTphjqBkr3SrY,305,9206,6140,3448,0,19099
5FeTMgm2VL1LGqDvaREchrry4KRY8q8jnEjLw4XrQqMCLdh6,499,0,10071,0,0,10570
5Cm8JHz75TZw5GAAwVV99qFJKPYtxXsP2hn811WpWLo4UDjG,243556,9944569,5854778,3272033,4928001,24242937
5CySgZqtpR2Cna2tXCg3ENU56y2ujYSFEnQ9X9X9Hh8pZSjZ,6062,249753,0,0,0,255815
5EWuRc6fJdAewTArojDb5X79RyoRqHS7GrjGzj2WjcS6nKUn,10437,430047,267282,227317,283716,1218799
5HYf3JpQKCMPW1nxdvN6sT6WQW7nUDxyL3JJq44CTVzGCU9q,7649,680472,317588,357631,442314,1805654
5F7XL2rt5XTvEFdkGafjzaht7jkhmqg7fnjh3r66SDtGzEGE,103254,9186372,4201445,4810628,5949737,24251436
5Fo1mRD8Rcji5CSPeMDhQLMAgeRDUGXN8s8qCkAxqweGZgK2,1157,13498,29627,6981,11488,62751
5EvyXXqdJbH7eBcp1a2jPZF2QCqqLwLUKqiAABBcvyWj4jFz,7649,680472,317588,357631,442314,1805654
5HKxdhD13ap8GAhkCE6KDUmtjaAH5vZsZLg1qdb1kgQGHk7x,1148,13386,29382,6923,11393,62232
5CSGyY7YJUyYMsJyi829dvMzDLRcSNKhCq5WcRYxfBDKYxXc,2358,97157,60385,51356,64098,275354
5EZXqzjpsABkgJvwZFKLCUJi49n3jHsY6pLbk2fgkgykYSxW,1530,17848,39176,12282,15191,86027
5GTwubXQPTay2PKKGBCFTQzk3dcc6gay1Y7ua3bSKDLWhtdG,8417,266954,215535,131069,163793,785768
5Fswq7AQeJwNbdDY5DLjdFcddmy9vJjLik1DrM7tiGCLanuc,918,36882,23506,16812,21953,100071
5GgNWiLXVt9xhC7PTwW2nie9J1JYZk6W9WndrWa4CF6B1jxt,1530,61470,39176,28019,36589,166784
5Ecp3jMUgzTXwyWB2tP6C5zEqgoMi3qkwHTDC6y17mAYbRCH,14742,365724,377533,174437,219509,1151945
5Ech4ywGCm4JP5FYGRj64FTVof1kJdhNGVmcQHHZNNMGwByv,8357,0,0,0,0,8357
5CzTj2DXVVjzPBVEfcXicKq3F3cjJSFBrpEcunit77LmfHXj,892,10397,22739,11377,14274,59679
5FZsRzks5woWPUVA47eKouZvjx6NR3pQAFoxdsj1BbeC67ap,3493,73223,89445,33503,49644,249308
5Dt6d5kFRHKuqQh9sAsVMxFnoKFDFcma86iS7GAMwtSW2wJY,84953,2779244,2175612,1322572,1703963,8066344
5DyhYCtLKsP3AcZETNBHWBWBdYNDPPQLr8RJckJ4M5G9fuVZ,3386,139511,86709,73744,91948,395298
5EZdvRZdaa6W4WX7Dtpd7qaBnv5KC7LCcHfaxWWqcKwYk1SU,1263,14733,32337,15639,20205,84177
5FkM1pSkGxHfx6UkUNVbw9MWGMFphGNn15qfkCwuVtr3Vp7v,1400,16333,35851,9470,13902,76956
5FHnnbgtShoF9BueR4RHrRkEBX3X9MGH2bgoVuJGGAHK69g9,4279,112093,109574,75460,98013,399419
5FNdY6g8gTSuDMAcoMr4GQSzq8ZAJMSXo2i8ZfFfs69VUJbM,39607,1122178,1014310,514285,645274,3335654
5FFFypBZkmirDzJNGbXseHw2scDRhec9n64nqUjbkWiX7hNu,5403,167627,138363,73528,95110,480031
5FQtxc86NYt5vajVPkVahpP91cuoXUZrSNbpUQGhVhbhtJek,3825,63670,97938,33772,50620,249825
5Fq66TGSa2tzieaYuQJLBfohmR8Jd2T1LW2n5v4jYUp8cEvE,765,31516,19588,16659,20792,89320
5EZox7jrPTfn1kG7jLpG94jH7jTQzctDde7iRpgGkvq6zCyo,3868,93857,99035,53981,67683,318424
5EvTmPudDAWt7GfP6xjM6gQvURFywRVsvt1FPJhhWyYHQZj8,3874,84673,99200,44609,56272,288628
5Deeb3ohXgkbR7WtMAChasSnWwRNRp4vhGqGB9YcWSGDP3Uz,842,9817,21547,5077,6363,43646
5DLdr9bNhZc2WeSawpR7Txp7YWLFuZkd5NTq9Vgr7xV5DvVX,453782,12344763,11597074,5567910,7017565,36981094
5E7sunjrvbmnD1C585KN9PC645EXa6D4SJF6AUhTFnBWRPWL,5176,144472,132539,65790,82991,430968
5GKikUAfGrvF8AHgsZXaVoWurjmpJstWajkDE7Qqd7JSxVsu,1148,46103,29382,21014,27442,125089
5CqZfdHnqaBaQW9ige3Jeu4psF4fp2gKJq8HRcJ8eJYmT1Y5,99794,3349973,2555543,1505089,1932249,9442648
5H6JRxw5QLn7kpo4k1sxxuBZekd1q45UxrD1erknCqhSKV3X,800,25368,20482,12455,15565,74670
5GKivP99rENepxDDEBTyiaakBUEtjMKdmuvKv7yf4QCKaRam,26885,651603,688502,310115,359441,2036546
5DnSmPbyMaDUNRWRrFCaWymstd3137jk3pd2KQcGuWdL9Yer,1530,17848,39176,13322,16738,88614
5F9ywhxziFF5oBXqznKXJD35hv5H3DhF9N2AhkfdpvBykWta,894,36798,0,0,0,37692
5CoZWcDxWD6mgz5eGTegZbLND5zhbyB3VBhfQYaSaKtfMjx6,3049,0,0,0,0,3049
5EZzxmJY5dyexnKsv8Q9xQY34Ugc56hjwM1CYCX8Nsinye2J,164329,4488481,3589910,2180639,2680558,13103917
5Dc7vvFzPkxezuwDt4RvbrR63t5rkXzWxqRDSyGLznrXCPxr,7874,191059,159808,169290,246190,774221
5CWwreekGhu2TDTvXpEq5YKyZgeQdSxqE1Jr8Zp3GWx7Xm9T,5920,157755,120641,133677,187770,605763
5En8RuZD13jirb7yzh2QxXz5SQLiz3bDTbAVmHVUk6B8dVgW,2162,48652,41061,27429,32831,152135
5EhFwFy4osWsk94RpKwApK1Yhykd696fmPt19hCJQZzYGGaY,18555,491521,729178,0,0,1239254
5FHjspqzXFTnSnndnjvLgBc4aYdesEGMjQ2sqNE8iYpttSik,1889,43625,35874,24945,33600,139933
5FsrT2PGUhrLtrfoC2yPw7Pq5xRuChm6Vy6kbb5daewJjRje,18101,0,0,0,0,18101
5EZhN3MfDzSDvguAWH87ccpLszoECG6sevZ2vddu3z3DLxjL,4366,0,0,0,0,4366
5DtATEHBBvrxW8hvZjdC2iTtEvDA3GRFFZH8TLUXRhLBjf5q,11133,249160,211510,152696,0,624499
5EeJ4Yp3cjBdwqiPU12LLw9txvVDaYaDrbehpviMcsqVJj9X,1856,53996,76569,79302,0,211723
5GixAE32p3snTLW3jwssKLucfQJio5Nuy7gWbcqcqb1CfEd5,425369,8337977,8081418,5425822,7115396,29385982
5FyDx7USBxw81VFLvFp2RF467PXhpPQD5EuAP7WLTQsb3q5H,40858,1045990,892098,1673303,2037542,5689791
5CZwaxz5g3XLxFo1KQ6sGMWAdQHgniCiu5huLqKuz995HCjs,2483,55873,47155,31500,37704,174715
5E2VaTPybd88K1xQQwQ1WoQszehXSEzmDeYTZ5h9WNXitLxh,2054,62457,39020,38438,54109,196078
5FbboXnNx9yqCGXgRDxYSbCKYwXkxmXSFc4vAocNYTakvQqZ,8499,227657,160789,132552,175724,705221
5CtY26VXnVgVbjHNqFRBK5cAXfc81gWhEDLVkgue2zGyPCHb,2172,41766,41248,30284,40028,155498
5HViqpv3eEzta4WTHC1z2LPAqe3qVz1LfPu2aWseS2M1PdW9,2379,53551,45195,30191,36136,167452
